Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-EC23","OpenClawFargate/FargateSecurityGroup/Resource","Suppressed","Ingress uses VPC CIDR or CloudFront managed prefix list; not open to 0.0.0.0/0.","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","OpenClawFargate/FargateSecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","OpenClawFargate/FargateSecurityGroup/from OpenClawFargatePublicAlbSecurityGroup0DBED258:18789","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-ECR1","OpenClawFargate/BridgeRepo/Resource","Compliant","N/A","Error","The ECR Repository allows open access."
"AwsSolutions-ECS4","OpenClawFargate/Cluster/Resource","Compliant","N/A","Error","The ECS Cluster has CloudWatch Container Insights disabled."
"AwsSolutions-IAM4","OpenClawFargate/BridgeTaskRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","OpenClawFargate/BridgeTaskRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawFargate/BridgeTaskRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:secretsmanager:us-west-2:537124949553:secret:openclaw/*] Secrets Manager resources use openclaw/* prefix — scoped to project secrets only. Bedrock InvokeAgent/InvokeModel do not support resource-level ARNs for AgentCore endpoints. Cognito userpool/* is scoped to this account/region.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawFargate/BridgeTaskRole/DefaultPolicy/Resource","Suppressed","[Resource::*] Secrets Manager resources use openclaw/* prefix — scoped to project secrets only. Bedrock InvokeAgent/InvokeModel do not support resource-level ARNs for AgentCore endpoints. Cognito userpool/* is scoped to this account/region.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawFargate/BridgeTaskRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:cognito-idp:us-west-2:537124949553:userpool/*] Secrets Manager resources use openclaw/* prefix — scoped to project secrets only. Bedrock InvokeAgent/InvokeModel do not support resource-level ARNs for AgentCore endpoints. Cognito userpool/* is scoped to this account/region.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","OpenClawFargate/BridgeExecutionRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AmazonECSTaskExecutionRolePolicy] AmazonECSTaskExecutionRolePolicy is the AWS-recommended managed policy for ECS task execution (ECR pull + CloudWatch Logs). See https://docs.aws.amazon.com/AmazonECS/latest/developerguide/task_execution_IAM_role.html","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","OpenClawFargate/BridgeExecutionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawFargate/BridgeExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::*] Wildcard on ECR repository actions is generated by CDK grant_pull() and scoped to the specific repository.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-ECS2","OpenClawFargate/BridgeTaskDef/Resource","Suppressed","Environment variables (AWS_REGION, GATEWAY_TOKEN_SECRET_ID, AGENTCORE_RUNTIME_ID, AGENTCORE_RUNTIME_ENDPOINT_ID, AGENTCORE_MEMORY_ID, PROXY_MODE, COGNITO_USER_POOL_ID, COGNITO_CLIENT_ID, COGNITO_PASSWORD_SECRET_ID) contain only non-sensitive configuration. Actual secret values are fetched at runtime from Secrets Manager by the entrypoint script.","Error","The ECS Task Definition includes a container definition that directly specifies environment variables."
"AwsSolutions-ECS7","OpenClawFargate/BridgeTaskDef/Resource","Compliant","N/A","Error","One or more containers in the ECS Task Definition do not have container logging enabled."
"AwsSolutions-ELB2","OpenClawFargate/PublicAlb/Resource","Suppressed","ALB access logs not enabled to minimize cost. CloudFront logging and Fargate container logs provide sufficient observability. The public ALB is restricted to CloudFront origin-facing IPs only.","Error","The ELB does not have access logs enabled."
"AwsSolutions-EC23","OpenClawFargate/PublicAlb/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","OpenClawFargate/PublicAlb/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","OpenClawFargate/PublicAlb/SecurityGroup/from pl-82a045eb:80","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
