Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-ECR1","OpenClawAgentCore/AgentRepo/Resource","Compliant","N/A","Error","The ECR Repository allows open access."
"AwsSolutions-EC23","OpenClawAgentCore/AgentRuntimeSecurityGroup/Resource","Suppressed","Ingress uses VPC CIDR; not open to 0.0.0.0/0.","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","OpenClawAgentCore/AgentRuntimeSecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-IAM4","OpenClawAgentCore/AgentExecutionRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","OpenClawAgentCore/AgentExecutionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/AgentExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:bedrock:us-east-1::foundation-model/*] Bedrock foundation model ARNs require wildcard for model ID because the agent may use multiple models. Actions are scoped to InvokeModel only. Memory, AgentCore Runtime, Logs, Metrics, and X-Ray APIs do not support resource-level permissions.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/AgentExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:bedrock:us-west-2::foundation-model/*] Bedrock foundation model ARNs require wildcard for model ID because the agent may use multiple models. Actions are scoped to InvokeModel only. Memory, AgentCore Runtime, Logs, Metrics, and X-Ray APIs do not support resource-level permissions.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/AgentExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::*] Bedrock foundation model ARNs require wildcard for model ID because the agent may use multiple models. Actions are scoped to InvokeModel only. Memory, AgentCore Runtime, Logs, Metrics, and X-Ray APIs do not support resource-level permissions.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","OpenClawAgentCore/MemoryExecutionRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","OpenClawAgentCore/MemoryExecutionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawAgentCore/MemoryExecutionRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:bedrock:us-west-2::foundation-model/*] Memory execution role needs InvokeModel on foundation models for memory extraction. Wildcard required for model ID.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
